section,word,meaning,part_of_speech,importance,label,proficiency,memo,example_sentence,example_translation,example_explanation
SECTION #1「重要な・ささいな」,vital,"(～にとって)非常に重要な(to, for～)； 生命の",形容詞,**,普,,,It is vital that we act quickly.,迅速に行動することが不可欠だ。,It is vital that S + V（仮定法現在）の形で「～が不可欠だ」を表す。
SECTION #1「重要な・ささいな」,vivid,"生き生きとした, 鮮やかな",形容詞,*,普,,,She gave a vivid description of the scene.,彼女はその場面を生き生きと描写した。,vivid + 名詞の形で「鮮明な～」を表す。SVO構文。
SECTION #1「重要な・ささいな」,revive,"～を生き返らせる, 生き返る",自動詞/他動詞,*,普,,,The doctor managed to revive the patient.,医師はなんとか患者を蘇生させた。,manage to do「なんとか～する」。reviveは他動詞で「～を蘇生させる」。
SECTION #1「重要な・ささいな」,essential,"(～にとって)重要な, 必要不可欠な(to, for～)； 本質的な",形容詞/名詞,**,普,,,Sleep is essential for good health.,睡眠は健康に不可欠だ。,S is essential for ～「Sは～に不可欠だ」。SVC構文。
SECTION #1「重要な・ささいな」,indispensable,"(～にとって)重要な, 必要不可欠な(to, for～)",形容詞,**,難,,,Water is indispensable to life.,水は生命に不可欠だ。,S is indispensable to ～「Sは～に欠かせない」。SVC構文。
SECTION #1「重要な・ささいな」,crucial,"決定的な, 極めて重要な",形容詞,*,難,,,This is a crucial moment in our history.,これは我々の歴史における重大な瞬間だ。,crucial + 名詞で「極めて重要な～」を表す。SVC構文。
SECTION #1「重要な・ささいな」,significance,重要性,名詞,**,難,,,Few people understood the significance of the discovery.,その発見の重要性を理解する人はほとんどいなかった。,the significance of ～「～の重要性」。SVO構文。
SECTION #1「重要な・ささいな」,consequence,"結果, 重要さ",名詞,**,難,,,He suffered the consequences of his actions.,彼は自分の行動の結果に苦しんだ。,the consequences of ～「～の結果」。SVO構文。
SECTION #1「重要な・ささいな」,matter,"事柄, 問題； 重要である",名詞/自動詞,**,難,,,It doesn't matter what other people think.,他人がどう思おうと関係ない。,It doesn't matter + what節。matterは自動詞で「重要である」。
SECTION #1「重要な・ささいな」,count,～を数える； 重要である,自動詞/他動詞/名詞,**,難,,,Every vote counts in this election.,この選挙ではすべての票が重要だ。,countは自動詞で「重要である」の意味。SV構文。
SECTION #1「重要な・ささいな」,make a difference,重要である,自動詞句,**,難,,,Small changes can make a difference.,小さな変化が違いを生むことがある。,make a difference「違いを生む、重要である」。SVO構文。
SECTION #1「重要な・ささいな」,trivial,"ささいな, ありふれた",形容詞,**,難,,,Don't waste time on trivial matters.,些細なことに時間を無駄にするな。,trivial + 名詞で「些細な～」。命令文。
SECTION #1「重要な・ささいな」,trifle,"ささいな事, くだらない事",名詞/自動詞,*,難,,,He is not a man to be trifled with.,彼はばかにしてはいけない人物だ。,trifle with ～「～を軽く扱う」。不定詞の形容詞的用法。
SECTION #1「重要な・ささいな」,common,"共通の, よくある, 一般的な, ありふれた",形容詞,**,難,,,This disease is common among children.,この病気は子供の間でよく見られる。,S is common among ～「Sは～の間でよく見られる」。SVC構文。
SECTION #1「重要な・ささいな」,ordinary,"普通の, 通常の, ありふれた",形容詞,**,難,,,It was just an ordinary day.,それはただの普通の日だった。,ordinary + 名詞で「普通の～」。SVC構文。
SECTION #1「重要な・ささいな」,familiar,(～に)よく知られた(to～)； (～に)精通している(with～)； 親しい,形容詞,**,難,,family,I am familiar with this topic.,私はこのトピックをよく知っている。,be familiar with ～「～をよく知っている」。SVC構文。
SECTION #1「重要な・ささいな」,emphasize,～を強調する,他動詞,**,難,,,She emphasized the importance of education.,彼女は教育の重要性を強調した。,emphasize + 名詞「～を強調する」。SVO構文。
SECTION #1「重要な・ささいな」,stress,"～を強調する； ストレス, 重点, 強調",名詞/他動詞,**,難,,,He stressed that teamwork was essential.,彼はチームワークが不可欠だと強調した。,stress that節「～だと強調する」。SVO構文（that節が目的語）。
SECTION #1「重要な・ささいな」,neglect,"～を(うっかり)怠る, ～を無視する",他動詞/名詞,**,難,,,He neglected his duties for months.,彼は何か月も自分の職務を怠った。,neglect + 名詞「～を怠る」。SVO構文。
SECTION #1「重要な・ささいな」,ignore,"～を無視する, ～を知らないふりをする",他動詞,**,難,,,You should not ignore the warning signs.,警告のサインを無視すべきではない。,ignore + 名詞「～を無視する」。SVO構文。
SECTION #1「重要な・ささいな」,eminent,著名な,形容詞,*,難,,,She is an eminent scholar in the field.,彼女はその分野の著名な学者だ。,eminent + 名詞で「著名な～」。SVC構文。
SECTION #1「重要な・ささいな」,prominent,目立った； 有名な,形容詞,*,難,,,He played a prominent role in the project.,彼はそのプロジェクトで重要な役割を果たした。,prominent + 名詞で「目立った、重要な～」。SVO構文。
SECTION #1「重要な・ささいな」,primary,"第1の, 主要な",形容詞,**,難,,データベースのcolumnに指定するprimary key(主要列),Our primary concern is safety.,私たちの第一の関心事は安全だ。,primary + 名詞で「第一の、主要な～」。SVC構文。
SECTION #1「重要な・ささいな」,tiny,ちっぽけな,形容詞,**,普,,ドンキーコング64の小さい猿「タイニー」,She lives in a tiny apartment.,彼女は小さなアパートに住んでいる。,tiny + 名詞で「とても小さな～」。SV構文（前置詞句を伴う）。
SECTION #1「重要な・ささいな」,slight,"わずかな, 取るに足らない",形容詞,**,難,,,There has been a slight improvement.,わずかな改善が見られた。,slight + 名詞で「わずかな～」。SV構文（There構文）。
SECTION #2「特徴・明確さ・点」,character,"性格, 人格, 特徴, 登場人物, 文字",名詞,**,難,,,Honesty is an important part of his character.,正直さは彼の性格の重要な部分だ。,character「性格、人格」。SVC構文。
SECTION #2「特徴・明確さ・点」,feature,"(目立った)特徴, 顔立ち； ～を特集する, 呼び物にする",名詞/他動詞,**,難,,フューチャー,The building features a large garden.,その建物には大きな庭が備わっている。,feature + 名詞「～を特徴として持つ」。SVO構文。
SECTION #2「特徴・明確さ・点」,trait,"特徴, 特色",名詞,*,難,,,Kindness is a desirable trait.,優しさは望ましい特性だ。,trait「特性、特質」。SVC構文。
SECTION #2「特徴・明確さ・点」,typical,"典型的な, (～)らしい(of～)",形容詞,**,易,,,This is typical of his behavior.,これは彼の行動に典型的だ。,be typical of ～「～に典型的である」。SVC構文。
SECTION #2「特徴・明確さ・点」,unique,"(～に)特有の(to～), 独自の； 唯一の",形容詞,**,難,,,Each person has a unique fingerprint.,一人ひとりが独自の指紋を持っている。,unique + 名詞で「独自の、唯一の～」。SVO構文。
SECTION #2「特徴・明確さ・点」,peculiar,(～に)特有の(to～)； 風変わりな,形容詞,**,難,,,There is something peculiar about this place.,この場所には何か奇妙なところがある。,peculiar「奇妙な、独特の」。There is構文。
SECTION #2「特徴・明確さ・点」,particular,"特定の, 特別の",形容詞/名詞,**,難,,,Is there any particular reason for your visit?,訪問に何か特別な理由がありますか。,particular + 名詞で「特定の、特別な～」。疑問文。
SECTION #2「特徴・明確さ・点」,general,"全般的な, 一般的な",形容詞/名詞,**,普,,,The general public has the right to know.,一般大衆には知る権利がある。,general + 名詞で「一般的な～」。SVO構文。
SECTION #2「特徴・明確さ・点」,specify,～を特定する,他動詞,*,難,,スペシフィック,Please specify the date and time.,日時を明記してください。,specify + 名詞「～を明記する」。命令文。SVO構文。
